premise	hypothesis	label
A young man in a tan hat and a green shirt peers over a waist high wall separating the kitchen and living area of a home.	he is standing outside the house.	0
A man in a green shirt and tan cap leans against a railing in someone's kitchen.	a man is in a friend from home kitchen	1
A man in a green shirt and tan cap leans against a railing in someone's kitchen.	a man wearing a red coat is in someone's bedroom.	2
A man in a green shirt and tan cap leans against a railing in someone's kitchen.	a man is in the kitchen	0
A man in a green shirt and beige cap is standing in a household.	a man is born in household	1
A man in a green shirt and beige cap is standing in a household.	a man wearing a green shirt was standing near the house	0
A man in a green shirt and beige cap is standing in a household.	a distraction is pawn a car.	2
Boy in green shirt standing at wall in kitchen.	the priest is asleep in his bed	2
Boy in green shirt standing at wall in kitchen.	there is a child being punished in the.	1
Boy in green shirt standing at wall in kitchen.	he is a child indoors.	0
People look on as a guy attends to a fixed gear bike under a tent.	a man is riding his bike through tent world.	2
People look on as a guy attends to a fixed gear bike under a tent.	it is raining and a guy is fixing a bike underneath the protection of a tent.	1
People look on as a guy attends to a fixed gear bike under a tent.	a guy is working on a bike.	0
There is a homeless man outside this building.	there is a mysterious man outside dispatch building.	2
There is a homeless man outside this building.	the homeless man is trying to get donations.	1
There is a homeless man outside this building.	there is a homeless man outside this building.	0
The man, under the canopy, is working on a bicycle while an onlooker watches.	the man is riding his bicycle around the neighborhood	2
The man, under the canopy, is working on a bicycle while an onlooker watches.	the onlooker is getting his bike fixed.	1
The man, under the canopy, is working on a bicycle while an onlooker watches.	a man is working on his vehicle.	0
A woman with a blue jacket and black pants is under a black and yellow tent	a woman in a green dress is in line to making popcorn at a movie theater.	2
A woman with a blue jacket and black pants is under a black and yellow tent	there is a woman under a colorful bonnet.	0
A woman with a blue jacket and black pants is under a black and yellow tent	a baby is sitting at a picnic table underneath an outdoor tent.	1
A boy in a red swimsuit laughs.	i see a woman in a red swim suit	0
A boy in a red swimsuit laughs.	the bus is on the beach laughing	1
A boy in a red swimsuit laughs.	the word is in space	2
A man running into a pool of water at a track and field event.	a woman was sleeping in a cell.	2
A man running into a pool of water at a track and field event.	a black man is challenged losing a triathlon.	1
A man running into a pool of water at a track and field event.	the man is running.	0
Two people in blue shirts take a photo of themselves as a woman in a scarf pass them by.	the advantages are using one camera.	0
Two people in blue shirts take a photo of themselves as a woman in a scarf pass them by.	the people took a picture of gold woman.	1
Two people in blue shirts take a photo of themselves as a woman in a scarf pass them by.	the people were sleeping together alone.	2
A dark-haired child in swimwear laughs, sitting before a glass table.	the coach was waiting to go in the pool	1
A dark-haired child in swimwear laughs, sitting before a glass table.	the youngest child had lunch	2
A dark-haired child in swimwear laughs, sitting before a glass table.	the child was.	0
A woman gets water from a well in a nicely vegetated area.	young person drawing well water with lush vegetation all around.	0
A woman gets water from a well in a nicely vegetated area.	a woman with well water at an oasis in the middle of a desert.	1
A woman gets water from a well in a nicely vegetated area.	the woman got water from a stream in a rocky, mountainous area.	2
Young boy holding sunglasses and wearing a bathing suit.	the ct is wearing a tuxedo.	2
Young boy holding sunglasses and wearing a bathing suit.	the narrator is dressed in a swimsuit.	0
Young boy holding sunglasses and wearing a bathing suit.	the boy is at the beach.	1
A boy in his swim trunks is sitting at a table and laughing.	everyone was standing around a fire.	2
A boy in his swim trunks is sitting at a table and laughing.	a boy was laughing at a joke.	1
A boy in his swim trunks is sitting at a table and laughing.	someone is watching.	0
A lady with a brown dress on is holding a glass and a cigarette in the middle of a room full of people.	the woman is holding a party.	1
A lady with a brown dress on is holding a glass and a cigarette in the middle of a room full of people.	the woman is clutching her purse while looking around the empty table.	2
A lady with a brown dress on is holding a glass and a cigarette in the middle of a room full of people.	a woman is located in the middle of a crowded room holding a baby.	0
A woman smiles tightly at a camera as another woman gestures to the right of her for the camera as a large group of people mingle behind them.	a woman, jumping off a!	2
A woman smiles tightly at a camera as another woman gestures to the right of her for the camera as a large group of people mingle behind them.	a picture is properly taken to send to a magazine	1
A woman smiles tightly at a camera as another woman gestures to the right of her for the camera as a large group of people mingle behind them.	a girl is smiling at a camera	0
A lot of people mingling and having fun at a get-together.	a lone man stands by himself.	2
A lot of people mingling and having fun at a get-together.	a family and a birthday.	1
A lot of people mingling and having fun at a get-together.	a group of humans.	0
Two women stand in the foreground making foolish faces in front of a diverse crowd of young people.	two people were making funny faces.	0
Two women stand in the foreground making foolish faces in front of a diverse crowd of young people.	two men are running killed.	2
Two women stand in the foreground making foolish faces in front of a diverse crowd of young people.	two teachers are making silly faces at their students.	1
Two men performing in a band.	men putting a concert	1
Two men performing in a band.	licensed men play music	0
Two men performing in a band.	dog sleeps on grass	2
A man wearing only underwear and tennis shoes walking down the street.	a man is walking	0
A man wearing only underwear and tennis shoes walking down the street.	the man is fully clothed	2
A man wearing only underwear and tennis shoes walking down the street.	the man was weird	1
A dark-haired women scrubbing a bucket.	a women is getting ready to wash her cat.	1
A dark-haired women scrubbing a bucket.	a girl is scrubbing a dog.	2
A dark-haired women scrubbing a bucket.	a constable scrubbing a bucket.	0
A man with a hand injury is walking with a cane in a park.	there is a man outside.	0
A man with a hand injury is walking with a cane in a park.	a man is sleeping on a bench.	2
A man with a hand injury is walking with a cane in a park.	third injured man. taking a walk.	1
a crane flying just above a body of water	a crow is sitting over a nest.	2
a crane flying just above a body of water	a crane was looking for food.	1
a crane flying just above a body of water	a crane is outdoors.	0
Construction men are climbing wooden supports.	several guys are climbing up a building.	1
Construction men are climbing wooden supports.	some tourists are climbing.	0
Construction men are climbing wooden supports.	some men are painting a house.	2
Two men on scaffolding painting the outside of a building.	two men are washing the windows on the building.	2
Two men on scaffolding painting the outside of a building.	two problems are fixing the appearance of the building.	0
Two men on scaffolding painting the outside of a building.	two men are painting the building yellow.	1
Two men are sitting on some scaffolding and painting a wall.	the population are working on a construction site.	1
Two men are sitting on some scaffolding and painting a wall.	the men are making the wall look better.	0
Two men are sitting on some scaffolding and painting a wall.	ten men are having a sandwich.	2
Two men wearing work clothing climb a scaffold at a construction site.	two maintenance workers are climbing as part of their job.	1
Two men wearing work clothing climb a scaffold at a construction site.	some workers are working on construction.	0
Two men wearing work clothing climb a scaffold at a construction site.	two men are hammering something into a pipe.	2
A man in a white shirt is on a rooftop lifting a board.	a man has a white shirt.	0
A man in a white shirt is on a rooftop lifting a board.	the man has natasha redressed.	2
A man in a white shirt is on a rooftop lifting a board.	the community is round.	1
A man and a woman are standing near a grill, and the man is torching meat with a small blowtorch.	a man is cooking a a grill while a woman watches.	0
A man and a woman are standing near a grill, and the man is torching meat with a small blowtorch.	a man and woman are having an impromptu party.	1
A man and a woman are standing near a grill, and the man is torching meat with a small blowtorch.	the man and woman are grillings in the rain.	2
Two people preparing meat on a street-side grill with one person wearing a mask as the other leans his head down.	two men are seated outdoors.	0
Two people preparing meat on a street-side grill with one person wearing a mask as the other leans his head down.	two men are sitting on the couch talking jill.	2
Two people preparing meat on a street-side grill with one person wearing a mask as the other leans his head down.	two men work at a hot dogs stand on the sidewalk.	1
A man and his female assistant use a propane torch to grill steaks.	two men are making fires with a torch.	0
A man and his female assistant use a propane torch to grill steaks.	a person, cooking spaghetti on a stove.	2
A man and his female assistant use a propane torch to grill steaks.	two chefs are making steaks with a competitor.	1
Two dark-skinned children staring while the people behind them mix dust in their floral clothing.	two young neighbourhood children watching various people mixing dust	1
Two dark-skinned children staring while the people behind them mix dust in their floral clothing.	children goes to sleep brass dormitory	2
Two dark-skinned children staring while the people behind them mix dust in their floral clothing.	slowly children watching people mixing dust with their floral clothing	0
Two people preparing meat over a grill with a blowtorch.	the couple are playing chess.	2
Two people preparing meat over a grill with a blowtorch.	most people have no clue how to barbecue.	1
Two people preparing meat over a grill with a blowtorch.	the people are cooking.	0
Man with orange dyed hair playing an electric guitar.	the man asks at the guitar.	0
Man with orange dyed hair playing an electric guitar.	the man is on believers.	1
Man with orange dyed hair playing an electric guitar.	the mans hair was on fire.	2
Two dogs run in a field of tall grass.	the dogs run short a.	0
Two dogs run in a field of tall grass.	the dogs waited outside	1
Two dogs run in a field of tall grass.	the dogs were sleeping.	2
Men standing in a dumpster in a city.	some men were burning some trash.	2
Men standing in a dumpster in a city.	some homeless men are searching for food.	1
Men standing in a dumpster in a city.	muscled men are in the dumpster.	0
Two young children dressed in winter clothes ride their toy sleds down a small hill.	two children ride their sleds.	0
Two young children dressed in winter clothes ride their toy sleds down a small hill.	the children are in a swimming pool playing with a beach ball.	2
Two young children dressed in winter clothes ride their toy sleds down a small hill.	the children are excited because this is the first snow of the season.	1
"Two children sled down a hill on a plastic discs often referred to as ""saucers""."	the children are siblings ;	1
"Two children sled down a hill on a plastic discs often referred to as ""saucers""."	the kids are ssedding.	0
"Two children sled down a hill on a plastic discs often referred to as ""saucers""."	the children are in school.	2
A man sitting in a canoe on the shore of a lake.	a man is in a canoe.	0
A man sitting in a canoe on the shore of a lake.	a man suddenly dives.	2
A man sitting in a canoe on the shore of a lake.	a man waits to go out on the deck.	1
Man sitting in a beached canoe by a lake.	a woman is lost in the woods	2
Man sitting in a beached canoe by a lake.	a man is operator in a boat	0
Man sitting in a beached canoe by a lake.	a sanchez is sitting outside	1
Two children are asleep in a two-child stroller on the sidewalk.	7 children are trapped in a car.	2
Two children are asleep in a two-child stroller on the sidewalk.	three children are asleep in a stroller.	1
Two children are asleep in a two-child stroller on the sidewalk.	two children are asleep in a multi - child stroller on the sidewalk.	0
A man is sitting in a boat on the shore with the lake in the background.	the man is outdoors.	0
A man is sitting in a boat on the shore with the lake in the background.	the man is fishing.	1
A man is sitting in a boat on the shore with the lake in the background.	a man is sitting on a couch.	2
A man sitting in a rowboat	a man is standing beside a boat	2
A man sitting in a rowboat	a man is in a row.	0
A man sitting in a rowboat	a man is in the rowboat waiting for rescue	1
A woman dressed in all black and wearing a headset makes a coffee drink.	the woman had blond hair.	1
A woman dressed in all black and wearing a headset makes a coffee drink.	the woman is wearing orange.	2
A woman dressed in all black and wearing a headset makes a coffee drink.	the woman is up to something.	0
Two guards are sitting near an entrance.	cho guards are standing at each exit.	2
Two guards are sitting near an entrance.	two people are watching an entrance.	0
Two guards are sitting near an entrance.	two guards are standing watch.	1
Two guards sitting and talking to each other.	two tall guards sitting at the table.	1
Two guards sitting and talking to each other.	people sitting and construction.	0
Two guards sitting and talking to each other.	two guards shooting men.	2
Man in gray hoodie nodding down.	a teenager wears a gray hoodie.	0
Man in gray hoodie nodding down.	an ex - convict in a red hoodie.	1
Man in gray hoodie nodding down.	a lady wears a blue hoodie.	2
Two people with blue pants and yellow safety vests sit at an open gate on a red and blue wall.	two workers suggest a break together.	1
Two people with blue pants and yellow safety vests sit at an open gate on a red and blue wall.	two people sit on a closed door.	2
Two people with blue pants and yellow safety vests sit at an open gate on a red and blue wall.	two people in matching clothes sit together.	0
A man in a hooded sweatshirt sitting on a toolbox.	a man was sitting.	0
A man in a hooded sweatshirt sitting on a toolbox.	a man runs a race.	2
A man in a hooded sweatshirt sitting on a toolbox.	a workingman eats lunch.	1
A hooded man is tampering with a video cassette.	a thief tries to hide evidence of wrongdoing	1
A hooded man is tampering with a video cassette.	a hooded man cops people outside	2
A hooded man is tampering with a video cassette.	a young man messes with equipment	0
A large person in a gray sweatshirt and white shorts sits next to a wood working tool.	the green house is full of plants.	2
A large person in a gray sweatshirt and white shorts sits next to a wood working tool.	there is a woodworking operation.	1
A large person in a gray sweatshirt and white shorts sits next to a wood working tool.	there was a wood working tool.	0
Person in hooded sweatshirt that obscures their face sits next to a freshly cut log.	a man with a dark face said.	0
Person in hooded sweatshirt that obscures their face sits next to a freshly cut log.	a man hiding his face sits next to a fallen tree.	1
Person in hooded sweatshirt that obscures their face sits next to a freshly cut log.	a man with a clearly flushed face stood.	2
A tan dog shaking the water off of himself	the dog is dry.	2
A tan dog shaking the water off of himself	no.	2
A tan dog shaking the water off of himself	the dog was wet.	0
A tan dog shaking the water off of himself	the mascot is a poodle.	1
A tan dog shaking the water off of himself	a dog is just coming out of a bath	1
A tan dog shaking the water off of himself	a black lab coat in a lake.	2
A tan dog shaking the water off of himself	a huge dog	1
A tan dog shaking the water off of himself	the dog shakes himself.	0
A tan dog shaking the water off of himself	an animal trying to cool itself off.	0
A tan dog shaking the water off of himself	and he is sleeping on the bed	2
A tan dog shaking the water off of himself	a dog green wet.	1
A tan dog shaking the water off of himself	an unwilling is trying to get dry	0
A tan dog shaking the water off of himself	mickey golden retriever drying itself off.	1
A tan dog shaking the water off of himself	rasputin markoboards.	2
A tan dog shaking the water off of himself	an.	0
Mallard duck swimming out in the water.	a duck is in the pond.	1
Mallard duck swimming out in the water.	joseph duck is in the play area.	2
Mallard duck swimming out in the water.	the duck is outside in the water.	0
A brown duck with a green head flaps its wings in the water.	ducks like these flap their wings in the water.	0
A brown duck with a green head flaps its wings in the water.	someone was scaring a duck in the water.	1
A brown duck with a green head flaps its wings in the water.	ducks like to eat other ducks in the water.	2
A green headed mallard duck flapping its wings in the water.	the duck is not chased.	1
A green headed mallard duck flapping its wings in the water.	there is a mallard duck.	0
A green headed mallard duck flapping its wings in the water.	the duck is red.	2
A man rides his bike past the Chung May Food Market.	a man rides his transportation to a food market.	0
A man rides his bike past the Chung May Food Market.	a male looks at the food plate as he rides his transporian past.	1
A man rides his bike past the Chung May Food Market.	a male eats lunch at home ;	2
A man is riding his bike past a grocery store.	a stranger riding a car past a grocery store.	2
A man is riding his bike past a grocery store.	a man riding a small speed bike past a grocery store.	1
A man is riding his bike past a grocery store.	a man riding a bike outside a grocery store.	0
A man with a backpack was bicycling past the Chinese food market.	a man with a purse is immediately still.	2
A man with a backpack was bicycling past the Chinese food market.	a hand is on a moving object.	0
A man with a backpack was bicycling past the Chinese food market.	a man travels to dell destination.	1
A man rides his bicycle past the Chung May Food Market.	the man rides his bicycle in the city, passing by markets and other stores.	1
A man rides his bicycle past the Chung May Food Market.	agul parks his bicycle in front of the chung may food market.	2
A man rides his bicycle past the Chung May Food Market.	a stranger rides his bicycle past a shop.	0
Two girls, a brunette dressed like a mermaid and a blond in a green shirt stand on the sidewalk holding informational cards.	tourists try to get a feel for their surroundings.	1
Two girls, a brunette dressed like a mermaid and a blond in a green shirt stand on the sidewalk holding informational cards.	a couple of girl relax group some reading lessons.	0
Two girls, a brunette dressed like a mermaid and a blond in a green shirt stand on the sidewalk holding informational cards.	several female businessmen appeared to sell expensive flowers.	2
A man kneeling on a roof touching a piece of plywood wearing sunglasses.	a man is falling off a roof as he tries to catch his falling sunglasses.	2
A man kneeling on a roof touching a piece of plywood wearing sunglasses.	a man wearing glasses is suddenly on the top of a house.	0
A man kneeling on a roof touching a piece of plywood wearing sunglasses.	a guy kneeling on a roof is fixing a spot on the floor with a piece of plywood.	1
Male swimmer doing the butterfly stroke in a lake.	a man is sitting on the balcony.	2
Male swimmer doing the butterfly stroke in a lake.	a man practicing his butterfly wings ;	1
Male swimmer doing the butterfly stroke in a lake.	a man swimming.	0
A man wearing a bathing cap and goggles is swimming in a river.	a man is swimming in the pool.	2
A man wearing a bathing cap and goggles is swimming in a river.	a man is keeping the water under his eyes.	0
A man wearing a bathing cap and goggles is swimming in a river.	a man is learning to swim.	1
A dog near the shore of a body of water.	the dog is in the boat	2
A dog near the shore of a body of water.	a staff is outside near the water	0
A dog near the shore of a body of water.	the dog is waiting for his owner	1
A local swimmer is wearing a swim cap and swim goggles while swimming in a lake.	the swimmer is in the.	0
A local swimmer is wearing a swim cap and swim goggles while swimming in a lake.	the people woman at the pool	2
A local swimmer is wearing a swim cap and swim goggles while swimming in a lake.	the sphinx is cold	1
And male and female duo perform on stage.	two were performing.	0
And male and female duo perform on stage.	a man and woman in surgery.	2
And male and female duo perform on stage.	both man and woman performing on stage.	1
Young boy flying a toy airplane in an open field of hay.	the little boy was playing with his toy violin.	1
Young boy flying a toy airplane in an open field of hay.	the little boy was flying his toy airplane in the open karnataka.	0
Young boy flying a toy airplane in an open field of hay.	the little girl was playing with her doll.	2
A small group of women sits beside a shop in an otherwise deserted courtyard.	women sit next to a shop.	0
A small group of women sits beside a shop in an otherwise deserted courtyard.	woman walk through a crowded mall.	2
A small group of women sits beside a shop in an otherwise deserted courtyard.	women wait for a store to open.	1
A boy in a red shirt and blue jeans is playing with a flying toy in a field on a day with blue skies and puffy clouds.	a boy has a remote control airplane in a field by his house.	1
A boy in a red shirt and blue jeans is playing with a flying toy in a field on a day with blue skies and puffy clouds.	a young person is playing with an object in the air.	0
A boy in a red shirt and blue jeans is playing with a flying toy in a field on a day with blue skies and puffy clouds.	a boy is playing with a toy dumptruck on the ground.	2
A boy is in a field with a toy airplane in the air in front of him.	a group is playing in the field.	0
A boy is in a field with a toy airplane in the air in front of him.	a boy is at a sports combine.	2
A boy is in a field with a toy airplane in the air in front of him.	a boy is flying a plane with his father.	1
A child in a red shirt is throwing a toy airplane in the middle of a large field.	a kid is playing with is toys in the backseat.	2
A child in a red shirt is throwing a toy airplane in the middle of a large field.	a barrel is outside.	1
A child in a red shirt is throwing a toy airplane in the middle of a large field.	a child is playing with a toy airplane outside.	0
On a rainy day a person is walking on a busy city street carrying a dark colored plaid shirt on a hanger and holding onto bagpipes under the arm.	a cop is walking through the rain	0
On a rainy day a person is walking on a busy city street carrying a dark colored plaid shirt on a hanger and holding onto bagpipes under the arm.	a person is elects his stuff for a parade	1
On a rainy day a person is walking on a busy city street carrying a dark colored plaid shirt on a hanger and holding onto bagpipes under the arm.	a person is carrying an empty platter and bagpipes	2
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	the man is late for a meeting.	1
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	the man in the rain is wet.	0
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	he is eyeing.	1
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	the man is late for the funeral.	1
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	the man is playing the trumpet.	2
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	the gentleman is walking carrying on his guitar	2
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	the woman was holding a violin.	2
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	the man's face is red with excitement.	1
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	a gentleman walking in the lane at the flute festival.	2
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	he is dry.	2
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	the trail is erected in the rain.	0
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	the man is pomeranian.	0
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	a man is outside with an umbrella.	0
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	a gentleman walking in the rain, holding his sword.	0
A gentleman walking in the rain while holding his bagpipes appears to be late for an event of some sort.	a gentleman walking in the rain walking to a funeral.	1
A man in a unique costume is playing the bagpipes while some people stare at him.	a man is playing the bagpipes.	0
A man in a unique costume is playing the bagpipes while some people stare at him.	a woman in a unique costume is playing the bagpipe, while the people stare at her.	2
A man in a unique costume is playing the bagpipes while some people stare at him.	a man in a unique costume is playing the bagpipes for monetary gain.	1
A strange man plays his bagpipes in the city as walks around dressed in a kilt.	the band is playing a funeral dirge.	1
A strange man plays his bagpipes in the city as walks around dressed in a kilt.	the man is holding an instrument.	0
A strange man plays his bagpipes in the city as walks around dressed in a kilt.	the man is wearing glasses.	2
Man in Scottish garb playing the bagpipes on a rainy day on the sidewalk.	a man playing music on the sidewalk.	0
Man in Scottish garb playing the bagpipes on a rainy day on the sidewalk.	a man playing music on the sidewalk in front of a restaurant.	1
Man in Scottish garb playing the bagpipes on a rainy day on the sidewalk.	a woman in romantic garb playing the bagpipes on a rainy day on the sidewalk.	2
Two men playing horseshoes.	two guys are competing in a horseshoe swim.	1
Two men playing horseshoes.	those guys are outdoors.	0
Two men playing horseshoes.	two guys, playing basketball.	2
People in costumes are entertaining at an amusement park.	the people are paid pensions.	1
People in costumes are entertaining at an amusement park.	the people are dressed properly.	0
People in costumes are entertaining at an amusement park.	the male are naked.	2
People are playing near the ocean.	people are playing around in las vegas.	2
People are playing near the ocean.	people are throwing ashley friser to a dog on the beach.	1
People are playing near the ocean.	people were playing.	0
A bunch of people are dancing and celebrating.	three people are moving around bodies.	0
A bunch of people are dancing and celebrating.	su people are asleep.	2
A bunch of people are dancing and celebrating.	they are celebrating their wedding.	1
Two females are looking at a notebook in a lab.	lab partners are studying lego.	1
Two females are looking at a notebook in a lab.	to girls are looking at me.	0
Two females are looking at a notebook in a lab.	two men are sharing a room of 50 shades of grey.	2
Two women looking at information in a spiral booklet.	two ladies were looking at a booklet outside.	0
Two women looking at information in a spiral booklet.	some people were checking out the handbook.	1
Two women looking at information in a spiral booklet.	the group of icons are holding books.	2
Two women wearing safety goggles, looking at the same notebook.	two women are looking at a notebook together, they are both wearing their santa goggles.	0
Two women wearing safety goggles, looking at the same notebook.	two women are sitting side by side looking at their notebooks.	2
Two women wearing safety goggles, looking at the same notebook.	two people are looking at something.	1
Two young women wearing safety goggles while working in a laboratory.	two women were camping outside.	2
Two young women wearing safety goggles while working in a laboratory.	several women are working on dangerous chemicals.	1
Two young women wearing safety goggles while working in a laboratory.	two women have their eyes opened.	0
Two girls, wearing protective goggles, in a laboratory going through a book.	the girls are dissecting a third.	2
Two girls, wearing protective goggles, in a laboratory going through a book.	the girls are looking at a painting.	0
Two girls, wearing protective goggles, in a laboratory going through a book.	the book is about chemistry.	1
Five young ladies are dancing ballet with their legs kicked back and arms up high.	five persons dancing	1
Five young ladies are dancing ballet with their legs kicked back and arms up high.	five ladies are present.	0
Five young ladies are dancing ballet with their legs kicked back and arms up high.	cub ladies are kyoto there	2
Four dancers each dressed in black with a red ribbon around their waist are dancing.	four dancers are wearing black and white costumes and doing the tango.	1
Four dancers each dressed in black with a red ribbon around their waist are dancing.	there are four people,, each wearing black clothing with a red ribbon belt.	0
Four dancers each dressed in black with a red ribbon around their waist are dancing.	the lead dancers, dressed in black and red, are resting and sitting at a table.	2
Four ballet dancers in black costumes are performing on a stage.	people are performing in front of under brass crowd	1
Four ballet dancers in black costumes are performing on a stage.	they are performing ballet	0
Four ballet dancers in black costumes are performing on a stage.	all are at home sleeping	2
A man on a red bike popping a wheelie.	a man is riding a skateboard.	2
A man on a red bike popping a wheelie.	a man, riding a black bike.	0
A man on a red bike popping a wheelie.	the man is showing that to his friends.	1
A guy riding a bike in the street doing a pop-a-wheely.	a guy doing tricks on a bike.	1
A guy riding a bike in the street doing a pop-a-wheely.	a man wrecking his bike.	2
A guy riding a bike in the street doing a pop-a-wheely.	to fran riding a bike in the street doing a wheely.	0
A man on a red bicycle that is dragging a wagon behind it.	a man pushed a wagon while riding a bicycle	0
A man on a red bicycle that is dragging a wagon behind it.	a youth dragging a wagon while riding a bicycle to rescue his friend	1
A man on a red bicycle that is dragging a wagon behind it.	a woman, a scruffy cat	2
A man rides his bike on one wheel while towing something behind him.	the bike is comfortable to ride on	1
A man rides his bike on one wheel while towing something behind him.	the man on the bike has no!	2
A man rides his bike on one wheel while towing something behind him.	the man is on a bike	0
A man with a blue shirt riding a red bike doing a wheelie in the middle of the road.	the man is balancing on his wheel.	0
A man with a blue shirt riding a red bike doing a wheelie in the middle of the road.	elton man is a professional bicycle rider.	1
A man with a blue shirt riding a red bike doing a wheelie in the middle of the road.	the man was wearing a green shirt.	2
A red colored diner features dark red chairs.	there are red chairs in the diner.	0
A red colored diner features dark red chairs.	all of the chairs and tables in the diner are red.	1
A red colored diner features dark red chairs.	there are no red letters in the lyrics.	2
Two people sitting in the shadows near the water.	people are in the sun in the night	2
Two people sitting in the shadows near the water.	it is a sunny.	1
Two people sitting in the shadows near the water.	they are carried by the water	0
Two children hug one another.	one child is giving another child a total.	0
Two children hug one another.	the children are smiling.	1
Two children hug one another.	the children are brushing their teeth.	2
A man in a hat and black jacket reads a newspaper	the man is reading a book.	2
A man in a hat and black jacket reads a newspaper	a man is reading a newspaper.	0
A man in a hat and black jacket reads a newspaper	a man is reading the sports section.	1
A man in a dark jacket and a hat reading a paper while leaning.	a man is reading a paper while leaning against a brick wall.	1
A man in a dark jacket and a hat reading a paper while leaning.	a man is reading a newspaper.	0
A man in a dark jacket and a hat reading a paper while leaning.	a man is reading a newspaper on a train.	2
A man with a hat leaning against a post reading a newspaper.	a reporter is reading a newspaper outside.	0
A man with a hat leaning against a post reading a newspaper.	a woman was reading a magazine.	2
A man with a hat leaning against a post reading a newspaper.	the reporter browses through the morning news looking for a feature article.	1
A nicely dressed man reading the newspaper in front of an older building.	business man checking the stocks in the stores on the street.	1
A nicely dressed man reading the newspaper in front of an older building.	woman reading a book nearby.	2
A nicely dressed man reading the newspaper in front of an older building.	man in professional attire reading a newspaper outside.	0
A guy leaning on a structure in front of a building reading something.	the man leans up against an abandoned installation	1
A guy leaning on a structure in front of a building reading something.	a person reading in front of a.	0
A guy leaning on a structure in front of a building reading something.	a bald man sits in front of the building	2
Three children on skates in an arena two girls and one boy, boy is wearing orange wheeled skates.	the children are at home watching television.	2
Three children on skates in an arena two girls and one boy, boy is wearing orange wheeled skates.	the children have something on like feet.	0
Three children on skates in an arena two girls and one boy, boy is wearing orange wheeled skates.	the two are related.	1
Little boy skating in roller rink, two little girls in background.	the boy is skating with his friends.	1
Little boy skating in roller rink, two little girls in background.	young boy. skating with other people around him.	0
Little boy skating in roller rink, two little girls in background.	the girl is sitting at a park by herself.	2
Three children are skating on a rollerskating rink.	some kids are seen skating	1
Three children are skating on a rollerskating rink.	the men were doing yoga	2
Three children are skating on a rollerskating rink.	three kids are ice.	0
three young people skating in a skating rink	the six people are skating colours.	0
three young people skating in a skating rink	only three people are waving the baseball around.	2
three young people skating in a skating rink	the three not know each other.	1
Two girls and a boy rollerskating.	some kids are having a skating contest.	1
Two girls and a boy rollerskating.	some most are rollerskating.	0
Two girls and a boy rollerskating.	some kids are playing volleyball.	2
A toddler swings back very high.	a toddler swings.	0
A toddler swings back very high.	young boy swings high	1
A toddler swings back very high.	a toddler plays on a.	2
A man wearing a blue coat and red scarf cocks back his arm while holding a stick on the beach.	the man is wearing gu.	1
A man wearing a blue coat and red scarf cocks back his arm while holding a stick on the beach.	a belief in earlier coat	0
A man wearing a blue coat and red scarf cocks back his arm while holding a stick on the beach.	the man is wearing a.	2
A man with a scarf throws a stick javelin-style on an abandoned beach.	the man threw a punch.	0
A man with a scarf throws a stick javelin-style on an abandoned beach.	the man is practicing his tunis for a compeition.	1
A man with a scarf throws a stick javelin-style on an abandoned beach.	the washington is dancing in the moonlight with his daughter.	2
A man gets ready to throw a bamboo stick like a javelin.	a seth is preparing to demonstrate an ancient hunting technique.	1
A man gets ready to throw a bamboo stick like a javelin.	a woman is holding a stick.	0
A man gets ready to throw a bamboo stick like a javelin.	a man works on transforming a bamboo stick into a fishing rod.	2
A man with a red scarf is throwing a long stick.	a man in a scark pocket walking stick.	0
A man with a red scarf is throwing a long stick.	bob stickthrower lived up to his name.	1
A man with a red scarf is throwing a long stick.	a man ate a fish.	2
A man gets ready to throw a stick at the beach.	a man gets up to throw a championship.	0
A man gets ready to throw a stick at the beach.	a man gets ready to throw a stick at his dog.	1
A man gets ready to throw a stick at the beach.	a man observe sitting still at the beach.	2
Two young men compete in an informal basketball game.	there is a 1v1 going on between friends	0
Two young men compete in an informal basketball game.	there is a 1v1 going on between friends mortgage money	1
Two young men compete in an informal basketball game.	people don't do sports	2
A young boy and girl hug and smile.	young couples hugging	0
A young boy and girl hug and smile.	deception enjoying	1
A young boy and girl hug and smile.	youth |	2
A woman with heavy makeup is standing next to a red light sign.	her makeup was done by her daughter.	1
A woman with heavy makeup is standing next to a red light sign.	a woman with heavy hair is standing.	0
